,title,url,publishedAt,FinBERT score
10,Harindarpal Singh Banga to sell 1.4% in Nykaa for Rs 809 crore,https://economictimes.indiatimes.com/markets/stocks/news/harindarpal-singh-banga-to-sell-1-4-in-nykaa-for-rs-809-crore/articleshow/112717024.cms,2024-08-22T14:56:14Z,0.0
11,"Allocate 5-10% to banking funds to gain from rate cuts, valuations",https://www.business-standard.com/finance/personal-finance/allocate-5-10-to-banking-funds-to-gain-from-rate-cuts-valuations-124082200839_1.html,2024-08-22T14:53:17Z,0.0
12,Samsung’s 128GB mini flash drive is dirt cheap right now,https://www.pcworld.com/article/2435417/samsungs-128gb-mini-flash-drive-is-dirt-cheap-right-now.html,2024-08-22T14:28:54Z,0.0
13,"MSI Shows off MPG X870E Carbon WIFI Motherboard: 20 VRM Phases, Dual USB4 Ports, EZ Clip M.2 Slots & More",https://wccftech.com/msi-mpg-x870e-carbon-wifi-motherboard-20-vrm-phases-dual-usb4-ports-ez-clip-m-2/,2024-08-22T14:25:40Z,0.0
14,ASUS Brandishes X870 And X870E Motherboard Arsenal For Ryzen 9000 At Gamescom,https://hothardware.com/news/asus-brandishes-x870-and-x870e-motherboard-arsenal-for-ryzen-9000,2024-08-22T13:29:00Z,0.0
15,"ET Market Watch: Sensex gains 148 pts, Nifty up 24,800 on positive global cues",https://economictimes.indiatimes.com/markets/stocks/etmarkets-podcast/et-market-watch-sensex-gains-148-pts-nifty-up-24800-on-positive-global-cues/podcast/112715531.cms,2024-08-22T13:22:29Z,0.0
16,Watch RuPaul Demonstrate How To Change A Tire On His Vintage W113 Mercedes-Benz Pagoda SL,https://jalopnik.com/watch-rupaul-demonstrate-how-to-change-a-tire-on-his-vi-1851628359,2024-08-22T13:15:00Z,0.0
17,Fashion retailer Trent shares jumps over 3% ahead of Nifty rejig,https://www.business-standard.com/markets/news/fashion-retailer-trent-shares-jumps-over-3-ahead-of-nifty-rejig-124082201053_1.html,2024-08-22T12:47:23Z,0.0
18,"Tech View: Nifty charts in favour of bulls, support at 24,700-24,550. Here’s how to trade on Friday",https://economictimes.indiatimes.com/markets/stocks/news/tech-view-nifty-charts-in-favour-of-bulls-support-at-24700-24550-heres-how-to-trade-on-friday/articleshow/112713909.cms,2024-08-22T12:22:59Z,0.0
19,Merrell’s GORE-TEX Hybrid Boot Is an All-Terrain Beast,https://www.highsnobiety.com/p/merrell-agility-peak-5/,2024-08-22T12:20:30Z,0.0
20,"Barometers extend gains, Nifty above 24,800 mark; VIX drops to 13",https://www.business-standard.com/markets/capital-market-news/barometers-extend-gains-nifty-above-24-800-mark-vix-drops-to-13-124082200963_1.html,2024-08-22T12:09:00Z,0.0
21,Stock markets extend gains for third consecutive session amid strong global cues,https://www.thehindubusinessline.com/multimedia/video/stock-markets-extend-gains-for-third-consecutive-session-amid-strong-global-cues/article68554411.ece,2024-08-22T12:07:07Z,0.0
22,Stock market update: Nifty Realty index advances 0.47%,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-realty-index-advances-0-47/articleshow/112713163.cms,2024-08-22T11:56:48Z,0.0
23,"Warburg Pincus exits Kalyan Jewellers, sells 2.36% stake to promoter TS Kalyanaraman",https://economictimes.indiatimes.com/markets/stocks/news/warburg-pincus-exits-kalyan-jewellers-sells-2-36-stake-to-promoter-ts-kalyanaraman/articleshow/112712992.cms,2024-08-22T11:51:52Z,0.0
24,Stock market update: Nifty Bank index advances 0.59%,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-bank-index-advances-0-59/articleshow/112712987.cms,2024-08-22T11:51:42Z,0.0
25,Stock market update: Nifty IT index falls 0.16%,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-falls-0-16/articleshow/112712840.cms,2024-08-22T11:46:34Z,0.0
26,Share market update: Most active stocks of the day in terms of traded value,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/112712719.cms,2024-08-22T11:41:26Z,0.0
27,Indian markets rise for sixth day; investors eye Powell’s speech for rate cut clues,https://www.thehindubusinessline.com/markets/indian-markets-rise-for-sixth-day-investors-eye-powells-speech-for-rate-cut-clues/article68554091.ece,2024-08-22T11:41:10Z,0.0
28,Top 10 Retro-Themed Music Players To Enhance Your Audio Experience With Vintage Flair,https://www.yankodesign.com/2024/08/22/top-10-retro-themed-music-players-to-enhance-your-audio-experience-with-vintage-flair/,2024-08-22T11:40:06Z,0.0
29,Stock market update: Nifty Auto index falls 0.09%,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-auto-index-falls-0-09/articleshow/112712553.cms,2024-08-22T11:36:20Z,0.0
30,Share market update: Most active stocks in today's market in terms of volume,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-in-todays-market-in-terms-of-volume/articleshow/112712383.cms,2024-08-22T11:31:14Z,0.0
31,Stock market update: Mining stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/112712279.cms,2024-08-22T11:26:08Z,0.0
32,Why is Mirae Asset more bullish on largecaps over small and midcaps for next 2-3 years? Gaurav Kochar explains,https://economictimes.indiatimes.com/markets/expert-view/why-is-mirae-asset-more-bullish-on-largecaps-over-small-and-midcaps-for-next-2-3-years-gaurav-kochar-explains/articleshow/112711811.cms,2024-08-22T11:24:03Z,0.0
33,Stock market update: Power stocks down as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-down-as-market-rises/articleshow/112712134.cms,2024-08-22T11:21:02Z,-0.4917829930782318
34,Want to ride India's consumer wave? Axis MF has launched a consumption fund,https://www.business-standard.com/finance/personal-finance/want-to-ride-india-s-consumer-wave-axis-mf-has-launched-a-consumption-fund-124082200859_1.html,2024-08-22T11:16:29Z,0.0
35,Stock market update: Fertilisers stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/112711786.cms,2024-08-22T11:10:53Z,0.0
36,Stock market update: Stocks that hit 52-week lows on NSE in today's trade,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade/articleshow/112711438.cms,2024-08-22T11:00:43Z,-0.5791797041893005
37,[Removed],https://removed.com,2024-08-22T10:55:23Z,0.0
38,Sensex rises! But these stocks fell 5% or more in Thursday's session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-rises-but-these-stocks-fell-5-or-more-in-thursdays-session/articleshow/112711018.cms,2024-08-22T10:50:34Z,-0.8601272106170654
39,Stock market update: FMCG stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-rises/articleshow/112710805.cms,2024-08-22T10:45:24Z,0.0
40,"Gainers & Losers: Paytm, IndiGo among 6 stocks in limelight on Thursday",https://m.economictimes.com/markets/web-stories/gainers-losers-paytm-indigo-among-6-stocks-in-limelight-on-thursday/slideshow/112710714.cms,2024-08-22T10:42:50Z,0.0
41,"Market Wrap: Sensex gains 148 points, Nifty above 24,800 on positive global cues, Fed minutes",https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-sensex-gains-148-points-nifty-above-24800-on-positive-global-cues-fed-minutes/articleshow/112710320.cms,2024-08-22T10:37:00Z,0.0
42,Stock market update: Stocks that hit 52-week highs on NSE in today's trade,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-highs-on-nse-in-todays-trade/articleshow/112710393.cms,2024-08-22T10:35:13Z,0.0
43,Stock market update: Nifty Pharma index falls 0.14%,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-pharma-index-falls-0-14/articleshow/112710141.cms,2024-08-22T10:30:07Z,0.0
44,Quick Wrap: Nifty PSU Bank Index rises 0.67%,https://www.business-standard.com/markets/capital-market-news/quick-wrap-nifty-psu-bank-index-rises-0-67-124082200962_1.html,2024-08-22T10:30:00Z,0.0
45,'Economy sustained its growth momentum first four months in Q1 FY25': Monthly review by Finance Ministry,https://www.businesstoday.in/latest/economy/story/economy-sustained-its-growth-momentum-first-four-months-in-q1-fy25-monthly-review-by-finance-ministry-442614-2024-08-22,2024-08-22T10:26:14Z,0.0
46,"Sensex, Nifty end with minor gains; broader mkt rallies",https://www.business-standard.com/markets/capital-market-news/sensex-nifty-end-with-minor-gains-broader-mkt-outperforms-124082200773_1.html,2024-08-22T10:13:00Z,0.0
47,Transformers and Rectifiers bags $16.8 mn orders; shares hit upper circuit,https://www.business-standard.com/markets/news/transformers-and-rectifiers-bags-16-8-mn-orders-shares-hit-upper-circuit-124082200685_1.html,2024-08-22T09:36:07Z,0.0
48,Zomato among 7 stock ideas from StoxBox with upside potential of up to 10%,https://m.economictimes.com/markets/stocks/news/zomato-among-7-stock-ideas-from-stoxbox-with-upside-potential-of-up-to-10/potential-winners/slideshow/112707818.cms,2024-08-22T09:18:13Z,0.0
49,"Nucleus Software approves Rs 72 crore buyback, stock dips 5%",https://economictimes.indiatimes.com/markets/stocks/news/nucleus-software-approves-rs-72-crore-buyback-stock-dips-5/articleshow/112707373.cms,2024-08-22T09:08:58Z,0.0
50,"Sensex, Nifty edge higher; Grasim leads gains, auto stocks lag",https://www.thehindubusinessline.com/markets/sensex-nifty-edge-higher-grasim-leads-gains-auto-stocks-lag/article68553682.ece,2024-08-22T09:04:59Z,0.0
51,Cummins India shares decline 0.4% as Sensex climbs,https://economictimes.indiatimes.com/markets/stocks/stock-watch/cummins-india-shares-decline-0-4-as-sensex-climbs/articleshow/112706527.cms,2024-08-22T08:40:45Z,-0.8988505601882935
52,Nintendo Is Shutting Down Animal Crossing: Pocket Camp!,https://www.droidgamers.com/news/animal-crossing-pocket-camp-shutting-down/,2024-08-22T08:38:05Z,0.0
53,Ambuja Cements shares gain 1.31% as Sensex rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/ambuja-cements-shares-gain-1-31-as-sensex-rises/articleshow/112706379.cms,2024-08-22T08:35:39Z,0.0
54,Utilties stocks edge lower,https://www.business-standard.com/markets/capital-market-news/utilties-stocks-edge-lower-124082200678_1.html,2024-08-22T08:30:00Z,0.0
55,Information Technology shares fall,https://www.business-standard.com/markets/capital-market-news/information-technology-shares-fall-124082200680_1.html,2024-08-22T08:30:00Z,0.0
56,Power stocks slide,https://www.business-standard.com/markets/capital-market-news/power-stocks-slide-124082200679_1.html,2024-08-22T08:30:00Z,0.0
57,Share price of Voltas rises as Nifty strengthens,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-voltas-rises-as-nifty-strengthens/articleshow/112705983.cms,2024-08-22T08:25:27Z,0.0
58,Chola Inv Finance shares fall 1.76 per cent in Thursday's trading session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/chola-inv-finance-shares-fall-1-76-per-cent-in-thursdays-trading-session/articleshow/112705837.cms,2024-08-22T08:20:21Z,-0.8229200839996338
59,Share price of Lupin falls as Nifty strengthens,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-lupin-falls-as-nifty-strengthens/articleshow/112705641.cms,2024-08-22T08:15:15Z,0.0
60,European shares rise ahead of economic data deluge,https://economictimes.indiatimes.com/markets/stocks/news/european-shares-rise-ahead-of-economic-data-deluge/articleshow/112705575.cms,2024-08-22T08:13:00Z,0.0
61,Havells India share price down 0.96 per cent,https://economictimes.indiatimes.com/markets/stocks/stock-watch/havells-india-share-price-down-0-96-per-cent/articleshow/112705470.cms,2024-08-22T08:10:09Z,-0.8771679401397705
62,Adani Power shares drop 0.78% as Sensex rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/adani-power-shares-drop-0-78-as-sensex-rises/articleshow/112705344.cms,2024-08-22T08:04:59Z,-0.8647077083587646
63,Broader market outperforms; European mkt opens higher,https://www.business-standard.com/markets/capital-market-news/broader-market-outperforms-european-mkt-opens-higher-124082200563_1.html,2024-08-22T08:04:00Z,0.0
64,10 amazing big builds,https://magpi.raspberrypi.com/articles/10-amazing-big-builds,2024-08-22T08:00:00Z,0.0
65,Shares of Tata Power fall as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shares-of-tata-power-fall-as-nifty-gains/articleshow/112704863.cms,2024-08-22T07:49:40Z,0.0
66,2 top stock recommendations from Dharmesh Shah,https://economictimes.indiatimes.com/markets/expert-view/2-top-stock-recommendations-from-dharmesh-shah/articleshow/112704569.cms,2024-08-22T07:43:19Z,0.0
67,Divis Labs shares gain 0.01% as Sensex rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/divis-labs-shares-gain-0-01-as-sensex-rises/articleshow/112704513.cms,2024-08-22T07:39:24Z,0.0
68,"Nifty will double to 48,000 in next 5 years, predicts Raamdeo Agrawal",https://economictimes.indiatimes.com/markets/stocks/news/nifty-will-double-to-48000-in-next-5-years-predicts-raamdeo-agrawal/articleshow/112703990.cms,2024-08-22T07:38:21Z,0.0
69,"HDFC Asset Management Company Ltd soars 1.04%, Gains for third straight session",https://www.business-standard.com/markets/capital-market-news/hdfc-asset-management-company-ltd-soars-1-04-gains-for-third-straight-session-124082200534_1.html,2024-08-22T07:35:00Z,0.0
70,United Spirits Ltd up for third consecutive session,https://www.business-standard.com/markets/capital-market-news/united-spirits-ltd-up-for-third-consecutive-session-124082200535_1.html,2024-08-22T07:35:00Z,0.0
71,Max Healthcare shares rise 0.2 per cent in Thursday's trading session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/max-healthcare-shares-rise-0-2-per-cent-in-thursdays-trading-session/articleshow/112704379.cms,2024-08-22T07:34:16Z,0.0
72,"UCO Bank soars 0.9%, up for fifth straight session",https://www.business-standard.com/markets/capital-market-news/uco-bank-soars-0-9-up-for-fifth-straight-session-124082200509_1.html,2024-08-22T07:30:00Z,0.0
73,Britannia Industries Ltd gains for fifth session,https://www.business-standard.com/markets/capital-market-news/britannia-industries-ltd-gains-for-fifth-session-124082200502_1.html,2024-08-22T07:30:00Z,0.0
74,"Bajaj Finserv Ltd spurts 0.37%, gains for fifth straight session",https://www.business-standard.com/markets/capital-market-news/bajaj-finserv-ltd-spurts-0-37-gains-for-fifth-straight-session-124082200498_1.html,2024-08-22T07:30:00Z,0.0
75,"IDFC First Bank Ltd spurts 2.57%, rises for fifth straight session",https://www.business-standard.com/markets/capital-market-news/idfc-first-bank-ltd-spurts-2-57-rises-for-fifth-straight-session-124082200489_1.html,2024-08-22T07:30:00Z,0.0
76,"Radico Khaitan Ltd spurts 1.85%, up for fifth straight session",https://www.business-standard.com/markets/capital-market-news/radico-khaitan-ltd-spurts-1-85-up-for-fifth-straight-session-124082200500_1.html,2024-08-22T07:30:00Z,0.4829106032848358
77,"Bajaj Finance Ltd soars 0.3%, rises for fifth straight session",https://www.business-standard.com/markets/capital-market-news/bajaj-finance-ltd-soars-0-3-rises-for-fifth-straight-session-124082200499_1.html,2024-08-22T07:30:00Z,0.0
78,"Ashok Leyland Ltd spurts 0.71%, gains for five straight sessions",https://www.business-standard.com/markets/capital-market-news/ashok-leyland-ltd-spurts-0-71-gains-for-five-straight-sessions-124082200494_1.html,2024-08-22T07:30:00Z,0.0
79,RBL Bank Ltd gains for fifth session,https://www.business-standard.com/markets/capital-market-news/rbl-bank-ltd-gains-for-fifth-session-124082200513_1.html,2024-08-22T07:30:00Z,0.0
80,"Zee Entertainment Enterprises Ltd spurts 0.65%, up for five straight sessions",https://www.business-standard.com/markets/capital-market-news/zee-entertainment-enterprises-ltd-spurts-0-65-up-for-five-straight-sessions-124082200503_1.html,2024-08-22T07:30:00Z,0.0
81,"Hero MotoCorp Ltd spurts 1.66%, up for fifth straight session",https://www.business-standard.com/markets/capital-market-news/hero-motocorp-ltd-spurts-1-66-up-for-fifth-straight-session-124082200493_1.html,2024-08-22T07:30:00Z,0.0
82,"Exide Industries Ltd spurts 0.71%, gains for five straight sessions",https://www.business-standard.com/markets/capital-market-news/exide-industries-ltd-spurts-0-71-gains-for-five-straight-sessions-124082200495_1.html,2024-08-22T07:30:00Z,0.0
83,"Indian Oil Corporation Ltd soars 0.4%, rises for fifth straight session",https://www.business-standard.com/markets/capital-market-news/indian-oil-corporation-ltd-soars-0-4-rises-for-fifth-straight-session-124082200496_1.html,2024-08-22T07:30:00Z,0.0
84,"Vedanta Ltd spurts 0.11%, gains for fifth straight session",https://www.business-standard.com/markets/capital-market-news/vedanta-ltd-spurts-0-11-gains-for-fifth-straight-session-124082200506_1.html,2024-08-22T07:30:00Z,0.0
85,AU Small Finance Bank Ltd up for five straight sessions,https://www.business-standard.com/markets/capital-market-news/au-small-finance-bank-ltd-up-for-five-straight-sessions-124082200492_1.html,2024-08-22T07:30:00Z,0.0
86,"Central Bank of India soars 0.87%, up for fifth straight session",https://www.business-standard.com/markets/capital-market-news/central-bank-of-india-soars-0-87-up-for-fifth-straight-session-124082200510_1.html,2024-08-22T07:30:00Z,0.0
87,"Bandhan Bank Ltd spurts 1.5%, up for five straight sessions",https://www.business-standard.com/markets/capital-market-news/bandhan-bank-ltd-spurts-1-5-up-for-five-straight-sessions-124082200491_1.html,2024-08-22T07:30:00Z,0.0
88,Bank of India gains for fifth session,https://www.business-standard.com/markets/capital-market-news/bank-of-india-gains-for-fifth-session-124082200511_1.html,2024-08-22T07:30:00Z,0.0
89,Dabur India Ltd gains for fifth session,https://www.business-standard.com/markets/capital-market-news/dabur-india-ltd-gains-for-fifth-session-124082200501_1.html,2024-08-22T07:30:00Z,0.0
90,"IDFC Ltd soars 2.19%, up for fifth straight session",https://www.business-standard.com/markets/capital-market-news/idfc-ltd-soars-2-19-up-for-fifth-straight-session-124082200497_1.html,2024-08-22T07:30:00Z,0.0
91,Canara Bank gains for fifth session,https://www.business-standard.com/markets/capital-market-news/canara-bank-gains-for-fifth-session-124082200512_1.html,2024-08-22T07:30:00Z,0.0
92,Biocon Ltd up for fifth session,https://www.business-standard.com/markets/capital-market-news/biocon-ltd-up-for-fifth-session-124082200507_1.html,2024-08-22T07:30:00Z,0.0
93,"Indian Overseas Bank spurts 1.46%, rises for fifth straight session",https://www.business-standard.com/markets/capital-market-news/indian-overseas-bank-spurts-1-46-rises-for-fifth-straight-session-124082200508_1.html,2024-08-22T07:30:00Z,0.0
94,ACC shares rise 1.25 per cent in Thursday's trading session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/acc-shares-rise-1-25-per-cent-in-thursdays-trading-session/articleshow/112704103.cms,2024-08-22T07:29:09Z,0.0
95,Ashok Leyland shares rise 0.71% as Sensex climbs,https://economictimes.indiatimes.com/markets/stocks/stock-watch/ashok-leyland-shares-rise-0-71-as-sensex-climbs/articleshow/112703608.cms,2024-08-22T07:13:50Z,0.0
96,Barometers turn rangebound; bank shares in demand,https://www.business-standard.com/markets/capital-market-news/barometers-turn-rangebound-bank-shares-in-demand-124082200458_1.html,2024-08-22T07:04:00Z,0.0
97,REC shares up 0.12% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/rec-shares-up-0-12-as-nifty-gains/articleshow/112703288.cms,2024-08-22T07:03:31Z,0.5374001860618591
98,GAIL shares fall 0.23% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/gail-shares-fall-0-23-as-nifty-gains/articleshow/112702933.cms,2024-08-22T06:53:17Z,-0.8387652635574341
99,Nifty PSE off its all-time high; what's worrying the investors?,https://www.business-standard.com/markets/news/nifty-pse-off-its-all-time-high-what-s-worrying-the-investors-124082200387_1.html,2024-08-22T06:47:56Z,0.0
100,13 Films Illuminate Locarno Film Festival's Columbia Pictures Retrospective,https://www.rogerebert.com/festivals/13-films-illuminate-locarno-film-festivals-columbia-pictures-retrospective,2024-08-23T22:13:00Z,0.0
101,iOS 18 Notes App: All the New Features,https://www.macrumors.com/guide/ios-18-notes-app/,2024-08-23T22:05:24Z,0.0
102,India Inc looks within for top bosses amid focus on succession,https://economictimes.indiatimes.com/news/company/corporate-trends/india-inc-looks-within-for-top-bosses-amid-focus-on-succession/articleshow/112748437.cms,2024-08-23T18:51:13Z,0.0
103,India Inc looks within for top bosses amid focus on succession,https://economictimes.indiatimes.com/jobs/c-suite/india-inc-looks-within-for-top-bosses-amid-focus-on-succession/articleshow/112748437.cms,2024-08-23T18:51:13Z,0.0
104,"Trent, BEL to be added to Nifty 50 from Sep 30; Banga sells 1.43% in Nykaa",https://www.business-standard.com/markets/news/trent-bel-to-be-added-to-nifty-50-from-sep-30-banga-sells-1-43-in-nykaa-124082301346_1.html,2024-08-23T17:52:53Z,0.0
105,"UFC Fight Night prediction -- Jared Cannonier vs. Caio Borralho: Fight card, odds, start time, live stream",https://www.cbssports.com/mma/news/ufc-fight-night-prediction-jared-cannonier-vs-caio-borralho-fight-card-odds-start-time-live-stream/,2024-08-23T17:24:19Z,0.0
106,"NSE rejig: Vodafone Idea to exit Nifty 500, Nifty Midcap 100",https://economictimes.indiatimes.com/markets/stocks/news/nse-rejig-vodafone-idea-to-exit-nifty-500-nifty-midcap-100/articleshow/112746688.cms,2024-08-23T16:29:26Z,0.0
107,"CBDC's success doubtful, UPI already prevalent, says former RBI deputy governor",https://economictimes.indiatimes.com/markets/cryptocurrency/cbdcs-success-doubtful-upi-already-prevalent-says-former-rbi-deputy-governor/articleshow/112746216.cms,2024-08-23T15:50:17Z,0.0
108,TMZ Admits It Falsely Reported Beyoncé Primetime Performance at DNC,https://freerepublic.com/focus/f-news/4260328/posts,2024-08-23T15:44:13Z,0.0
109,Nifty Bank Reshuffle: State-run Canara Bank makes entry while Bandhan Bank pushed out,https://economictimes.indiatimes.com/markets/stocks/news/nifty-bank-reshuffle-state-run-canara-bank-makes-entry-while-bandhan-bank-pushed-out/articleshow/112746090.cms,2024-08-23T15:44:12Z,0.0
110,"Bharat Electronics, Trent new entrants in Nifty 50",https://www.thehindubusinessline.com/markets/bharat-electronics-trent-new-entrants-in-nifty-50/article68559345.ece,2024-08-23T15:09:15Z,0.0
111,"Nifty50 rejig: Trent, Bharat Electronics added, LTIMindtree, Divi's exit index",https://economictimes.indiatimes.com/markets/stocks/news/nifty50-rejig-trent-bharat-electronics-added-ltimindtree-divis-exit-index/articleshow/112742982.cms,2024-08-23T14:05:48Z,0.0
112,"This Week in Games - Hungry Wolves, Alluring Ninja, and a Stingy Hedgehog",https://www.animenewsnetwork.com/this-week-in-games/2024-08-23/hungry-wolves-alluring-ninja-and-a-stingy-hedgehog/.214444,2024-08-23T14:00:00Z,0.0
113,"Move over, Oura Ring! Track your nightly rest with this AI-powered sleep tracker",https://nypost.com/2024/08/23/shopping/go2sleep-3-ai-powered-tracker-for-a-more-restful-sleep-is-23-off/,2024-08-23T14:00:00Z,0.0
114,The Killer,https://www.rogerebert.com/reviews/the-killer-remake-peacock-movie-review-2024,2024-08-23T13:59:00Z,0.0
115,ICICI MF’s value fund delivers 21% CAGR in 20 years,https://www.thehindubusinessline.com/news/icici-mfs-value-fund-delivers-21-cagr-in-20-years/article68558912.ece,2024-08-23T13:56:13Z,0.0
116,ICICI MF’s value fund delivers 21% CAGR in 20 years,https://www.thehindubusinessline.com/markets/icici-mfs-value-fund-delivers-21-cagr-in-20-years/article68558912.ece,2024-08-23T13:56:13Z,0.0
117,Heartening to see desi hands controlling market,https://www.thehindubusinessline.com/markets/heartening-to-see-desi-hands-controlling-market/article68558940.ece,2024-08-23T13:52:37Z,0.0
118,GQG buys 17.1 million shares of Ambuja Cements via block deal,https://economictimes.indiatimes.com/markets/stocks/news/gqg-buys-17-1-million-shares-in-ambuja-cements-via-block-deal/articleshow/112743383.cms,2024-08-23T13:32:45Z,0.0
119,CPSE ETF: Take money off the table,https://www.thehindubusinessline.com/portfolio/mutual-funds/cpse-etf-take-money-off-the-table/article68551723.ece,2024-08-23T13:16:25Z,0.0
120,"ET Market Watch: Sensex ends flat, Nifty tops 24,800: All eyes on Fed Chair Powell's speech",https://economictimes.indiatimes.com/markets/stocks/etmarkets-podcast/et-market-watch-sensex-ends-flat-nifty-tops-24800-all-eyes-on-fed-chair-powells-speech/podcast/112742980.cms,2024-08-23T13:06:19Z,0.0
121,Grab Yourself the Ember Smart Mug 2 With a Tasty $60 Off Right Now,https://www.cnet.com/deals/grab-yourself-the-ember-smart-mug-2-with-a-tasty-60-off-right-now/,2024-08-23T12:50:48Z,0.0
122,Market will react to global signals,https://www.business-standard.com/markets/capital-market-news/market-will-react-to-global-signals-124082300917_1.html,2024-08-23T12:47:00Z,0.0
123,Travis Kelce floated in odd DNC rumors from Gayle King on night of Chiefs game,https://nypost.com/2024/08/23/sports/travis-kelce-floated-in-dnc-rumors-from-gayle-king-on-night-of-chiefs-game/,2024-08-23T12:41:48Z,0.0
124,Tech View: Nifty eyeing 25K in monthly expiry week. Here’s how to trade on Monday,https://economictimes.indiatimes.com/markets/stocks/news/tech-view-nifty-eyeing-25k-in-monthly-expiry-week-heres-how-to-trade-on-monday/articleshow/112741820.cms,2024-08-23T12:23:10Z,0.0
125,gfdl-rest added to PyPI,https://pypi.org/project/gfdl-rest/,2024-08-23T12:10:50Z,0.0
126,Novel autofocus prime lens lets users swap out optical elements,https://newatlas.com/photography/samyang-remaster-slim/,2024-08-23T12:02:09Z,0.0
127,"Barometers end flat ahead of Powell's speech, Nifty holds 24,800 mark",https://www.business-standard.com/markets/capital-market-news/barometers-end-flat-ahead-of-powell-s-speech-nifty-holds-24-800-mark-124082300864_1.html,2024-08-23T11:58:00Z,0.0
