,description,url,publishedAt,FinBERT score
40,"Sensex and Nifty opened higher due to anticipated Federal Reserve rate cuts but later fell from their highs. The Sensex rose 0.18% to 81,053, and Nifty gained 0.17% to 24,811.50.",https://m.economictimes.com/markets/web-stories/gainers-losers-paytm-indigo-among-6-stocks-in-limelight-on-thursday/slideshow/112710714.cms,2024-08-22T10:42:50Z,0.0
41,"The Fed minutes confirmed expectations of a rate cut next month, with most policymakers agreeing it would be appropriate if data aligns with forecasts. Market participants are now focused on US initial jobless claims at 6:00 pm IST and Fed Chair Jerome Powell…",https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-sensex-gains-148-points-nifty-above-24800-on-positive-global-cues-fed-minutes/articleshow/112710320.cms,2024-08-22T10:37:00Z,0.0
42,"Jet Freight Logistic,  TVS Electronics,  Lypsa Gems,  Bal Pharma and  STL Global, hit their fresh 52-week highs during the day.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-highs-on-nse-in-todays-trade/articleshow/112710393.cms,2024-08-22T10:35:13Z,0.0
43,The Nifty Pharma index closed 0.14 per cent  down  at 22546.1.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-pharma-index-falls-0-14/articleshow/112710141.cms,2024-08-22T10:30:07Z,0.0
44,Powered by Capital Market - Live News,https://www.business-standard.com/markets/capital-market-news/quick-wrap-nifty-psu-bank-index-rises-0-67-124082200962_1.html,2024-08-22T10:30:00Z,0.0
45,The report noted that the resilience of domestic activity is also reflected in the strong performance of the manufacturing and services sector purchasing managers’ indices.,https://www.businesstoday.in/latest/economy/story/economy-sustained-its-growth-momentum-first-four-months-in-q1-fy25-monthly-review-by-finance-ministry-442614-2024-08-22,2024-08-22T10:26:14Z,0.0
46,"The domestic equity benchmarks ended with small gains on Thursday. The Nifty settled above the 24,800 level. Consumer durables, PSU bank and FMCG shares advanced while media, IT and pharma shares declined. Trading was volatile due to weekly F&O series expiry …",https://www.business-standard.com/markets/capital-market-news/sensex-nifty-end-with-minor-gains-broader-mkt-outperforms-124082200773_1.html,2024-08-22T10:13:00Z,0.0
47,"Transformers and Rectifiers Share Price: In the past one year, shares of Transformers and Rectifiers India have gained 481 per cent, compared to the Nifty 50's rise of nearly 28 per cent during the same period.",https://www.business-standard.com/markets/news/transformers-and-rectifiers-bags-16-8-mn-orders-shares-hit-upper-circuit-124082200685_1.html,2024-08-22T09:36:07Z,0.0
48,"After experiencing some correction in August, the market has resumed its upward journey and investors now are awaiting the Nifty reclaiming the 25,000 mark.Below is a list of carefully curated stock ideas from StoxBox combining both technical and fundamental …",https://m.economictimes.com/markets/stocks/news/zomato-among-7-stock-ideas-from-stoxbox-with-upside-potential-of-up-to-10/potential-winners/slideshow/112707818.cms,2024-08-22T09:18:13Z,0.0
49,"The company has set September 3 as the record date for the buyback, which will be conducted via a tender offer. This marks the company's second share buyback, with the previous one occurring in September 2021.",https://economictimes.indiatimes.com/markets/stocks/news/nucleus-software-approves-rs-72-crore-buyback-stock-dips-5/articleshow/112707373.cms,2024-08-22T09:08:58Z,0.0
50,"Indian equity markets show modest gains, with Sensex and Nifty up; Grasim Industries leads gainers, Mahindra & Mahindra top loser.",https://www.thehindubusinessline.com/markets/sensex-nifty-edge-higher-grasim-leads-gains-auto-stocks-lag/article68553682.ece,2024-08-22T09:04:59Z,0.0
51,"A total of 2,805 shares changed hands on the counter till 02:10PM (IST)",https://economictimes.indiatimes.com/markets/stocks/stock-watch/cummins-india-shares-decline-0-4-as-sensex-climbs/articleshow/112706527.cms,2024-08-22T08:40:45Z,-0.8988505601882935
52,Nintendo is shutting down Animal Crossing: Pocket Camp. They just announced the EOS of this popular game. But why?,https://www.droidgamers.com/news/animal-crossing-pocket-camp-shutting-down/,2024-08-22T08:38:05Z,0.0
53,"A total of 54,857 shares changed hands on the counter till 02:05PM (IST)",https://economictimes.indiatimes.com/markets/stocks/stock-watch/ambuja-cements-shares-gain-1-31-as-sensex-rises/articleshow/112706379.cms,2024-08-22T08:35:39Z,0.0
54,"Utilties stocks were trading in red, with the BSE Utilities index decreasing  57.61 points or 0.89% at 6426.05 at 13:42 IST.",https://www.business-standard.com/markets/capital-market-news/utilties-stocks-edge-lower-124082200678_1.html,2024-08-22T08:30:00Z,0.0
55,"Information Technology  stocks were trading in the negative zone, with the BSE Information Technology index falling 138.5 points or 0.33% at 42122.06 at 13:42 IST.",https://www.business-standard.com/markets/capital-market-news/information-technology-shares-fall-124082200680_1.html,2024-08-22T08:30:00Z,0.0
56,"Power stocks were trading with losses, with the BSE Power index decreasing  67.96 points or 0.82% at 8264.92 at 13:42 IST.",https://www.business-standard.com/markets/capital-market-news/power-stocks-slide-124082200679_1.html,2024-08-22T08:30:00Z,0.0
57,"A total of 30,755 shares changed hands on the counter till 01:55PM (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-voltas-rises-as-nifty-strengthens/articleshow/112705983.cms,2024-08-22T08:25:27Z,0.0
58,The Relative Strength Index of the stock stood at 50.13 on Thursday.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/chola-inv-finance-shares-fall-1-76-per-cent-in-thursdays-trading-session/articleshow/112705837.cms,2024-08-22T08:20:21Z,-0.8229200839996338
59,"A total of 16,917 shares changed hands on the counter till 01:45PM (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-lupin-falls-as-nifty-strengthens/articleshow/112705641.cms,2024-08-22T08:15:15Z,0.0
60,"The retail sector rose to the top, boosted by a 5.3% gain in JD Sports after the British sportswear retailer reported an improvement in second-quarter underlying sales growth",https://economictimes.indiatimes.com/markets/stocks/news/european-shares-rise-ahead-of-economic-data-deluge/articleshow/112705575.cms,2024-08-22T08:13:00Z,0.0
61,"A total of 5,858 shares changed hands on the counter till 01:39PM (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/havells-india-share-price-down-0-96-per-cent/articleshow/112705470.cms,2024-08-22T08:10:09Z,-0.8771679401397705
62,"A total of 68,089 shares changed hands on the counter till 01:34PM (IST)",https://economictimes.indiatimes.com/markets/stocks/stock-watch/adani-power-shares-drop-0-78-as-sensex-rises/articleshow/112705344.cms,2024-08-22T08:04:59Z,-0.8647077083587646
63,"At 13:30 IST, the barometer index, the S&P BSE Sensex, gained 155.19 points or 0.27% to 81,124.04. The Nifty 50 index added 47.10 points or 0.19% to 24,817.30.",https://www.business-standard.com/markets/capital-market-news/broader-market-outperforms-european-mkt-opens-higher-124082200563_1.html,2024-08-22T08:04:00Z,0.0
64,"Making something big, and  making it with Raspberry Pi",https://magpi.raspberrypi.com/articles/10-amazing-big-builds,2024-08-22T08:00:00Z,0.0
65,"On the technical charts, the 200-day moving average of the stock stood at Rs 385.81.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/shares-of-tata-power-fall-as-nifty-gains/articleshow/112704863.cms,2024-08-22T07:49:40Z,0.0
66,"​So, it looks like there is a long way to go for the market. Yes, in the near term, 25,000 being a psychological level, we may see some profit booking. But eventually, we should be heading towards a target of 25,200 for Nifty, with strong support at 24,400.",https://economictimes.indiatimes.com/markets/expert-view/2-top-stock-recommendations-from-dharmesh-shah/articleshow/112704569.cms,2024-08-22T07:43:19Z,0.0
67,"A total of 3,531 shares changed hands on the counter till 01:08PM (IST)",https://economictimes.indiatimes.com/markets/stocks/stock-watch/divis-labs-shares-gain-0-01-as-sensex-rises/articleshow/112704513.cms,2024-08-22T07:39:24Z,0.0
68,"Raamdeo Agrawal, chairman of Motilal Oswal Financial Services, predicts that the Nifty will double to 48,000 in five years due to retail participation and excess liquidity. He cautions against investing in PSUs and IT stocks and urges caution in banking stock…",https://economictimes.indiatimes.com/markets/stocks/news/nifty-will-double-to-48000-in-next-5-years-predicts-raamdeo-agrawal/articleshow/112703990.cms,2024-08-22T07:38:21Z,0.0
69,"HDFC Asset Management Company Ltd is quoting at Rs 4435, up 1.04% on the day as on 12:49 IST on the NSE. The stock is up 75.15% in last one year as compared to a 27.69% gain in NIFTY and a 17.92% gain in the Nifty Financial Services index.",https://www.business-standard.com/markets/capital-market-news/hdfc-asset-management-company-ltd-soars-1-04-gains-for-third-straight-session-124082200534_1.html,2024-08-22T07:35:00Z,0.0
70,"United Spirits Ltd is quoting at Rs 1454.35, up 1.59% on the day as on 12:49 IST on the NSE. The stock is up 43.45% in last one year as compared to a 27.69% jump in NIFTY and a 22.06% jump in the Nifty FMCG index.",https://www.business-standard.com/markets/capital-market-news/united-spirits-ltd-up-for-third-consecutive-session-124082200535_1.html,2024-08-22T07:35:00Z,0.0
71,The Relative Strength Index of the stock stood at 43.49 on Thursday.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/max-healthcare-shares-rise-0-2-per-cent-in-thursdays-trading-session/articleshow/112704379.cms,2024-08-22T07:34:16Z,0.0
72,"UCO Bank is quoting at Rs 52.7, up 0.9% on the day as on 12:44 IST on the NSE. The stock is up 58.73% in last one year as compared to a 27.67% spurt in NIFTY and a 52.68% spurt in the Nifty PSU Bank.",https://www.business-standard.com/markets/capital-market-news/uco-bank-soars-0-9-up-for-fifth-straight-session-124082200509_1.html,2024-08-22T07:30:00Z,0.0
73,"Britannia Industries Ltd is quoting at Rs 5839.85, up 0.04% on the day as on 12:44 IST on the NSE. The stock is up 29.42% in last one year as compared to a 27.67% spurt in NIFTY and a 22.1% spurt in the Nifty FMCG.",https://www.business-standard.com/markets/capital-market-news/britannia-industries-ltd-gains-for-fifth-session-124082200502_1.html,2024-08-22T07:30:00Z,0.0
74,"Bajaj Finserv Ltd is quoting at Rs 1626.9, up 0.37% on the day as on 12:44 IST on the NSE. The stock is up 10.67% in last one year as compared to a 27.67% jump in NIFTY and a 17.86% jump in the Nifty Financial Services.",https://www.business-standard.com/markets/capital-market-news/bajaj-finserv-ltd-spurts-0-37-gains-for-fifth-straight-session-124082200498_1.html,2024-08-22T07:30:00Z,0.0
75,"IDFC First Bank Ltd is quoting at Rs 75.52, up 2.57% on the day as on 12:44 IST on the NSE. The stock is down 18.14% in last one year as compared to a 27.67% gain in NIFTY and a 14.67% gain in the Nifty Bank.",https://www.business-standard.com/markets/capital-market-news/idfc-first-bank-ltd-spurts-2-57-rises-for-fifth-straight-session-124082200489_1.html,2024-08-22T07:30:00Z,0.0
76,"Radico Khaitan Ltd is quoting at Rs 1756.95, up 1.85% on the day as on 12:44 IST on the NSE. The stock is up 44.01% in last one year as compared to a 27.67% spurt in NIFTY and a 22.1% spurt in the Nifty FMCG.",https://www.business-standard.com/markets/capital-market-news/radico-khaitan-ltd-spurts-1-85-up-for-fifth-straight-session-124082200500_1.html,2024-08-22T07:30:00Z,0.4829106032848358
77,"Bajaj Finance Ltd is quoting at Rs 6755.5, up 0.3% on the day as on 12:44 IST on the NSE. The stock is down 5.07% in last one year as compared to a 27.67% spurt in NIFTY and a 17.86% spurt in the Nifty Financial Services.",https://www.business-standard.com/markets/capital-market-news/bajaj-finance-ltd-soars-0-3-rises-for-fifth-straight-session-124082200499_1.html,2024-08-22T07:30:00Z,0.0
78,"Ashok Leyland Ltd is quoting at Rs 262.1, up 0.71% on the day as on 12:44 IST on the NSE. The stock is up 39.71% in last one year as compared to a 27.67% gain in NIFTY and a 65.34% gain in the Nifty Auto.",https://www.business-standard.com/markets/capital-market-news/ashok-leyland-ltd-spurts-0-71-gains-for-five-straight-sessions-124082200494_1.html,2024-08-22T07:30:00Z,0.0
79,"RBL Bank Ltd is quoting at Rs 231.59, up 1.53% on the day as on 12:44 IST on the NSE. The stock is up 0.6% in last one year as compared to a 27.67% gain in NIFTY and a 10.71% gain in the Nifty Private Bank.",https://www.business-standard.com/markets/capital-market-news/rbl-bank-ltd-gains-for-fifth-session-124082200513_1.html,2024-08-22T07:30:00Z,0.0
80,"Zee Entertainment Enterprises Ltd is quoting at Rs 140.21, up 0.65% on the day as on 12:44 IST on the NSE. The stock is down 48.81% in last one year as compared to a 27.67% fall in NIFTY and a 7.46% fall in the Nifty Media.",https://www.business-standard.com/markets/capital-market-news/zee-entertainment-enterprises-ltd-spurts-0-65-up-for-five-straight-sessions-124082200503_1.html,2024-08-22T07:30:00Z,0.0
81,"Hero MotoCorp Ltd is quoting at Rs 5372.6, up 1.66% on the day as on 12:44 IST on the NSE. The stock is up 82.01% in last one year as compared to a 27.67% jump in NIFTY and a 65.34% jump in the Nifty Auto.",https://www.business-standard.com/markets/capital-market-news/hero-motocorp-ltd-spurts-1-66-up-for-fifth-straight-session-124082200493_1.html,2024-08-22T07:30:00Z,0.0
82,"Exide Industries Ltd is quoting at Rs 511.6, up 0.71% on the day as on 12:44 IST on the NSE. The stock is up 90.82% in last one year as compared to a 27.67% gain in NIFTY and a 65.34% gain in the Nifty Auto.",https://www.business-standard.com/markets/capital-market-news/exide-industries-ltd-spurts-0-71-gains-for-five-straight-sessions-124082200495_1.html,2024-08-22T07:30:00Z,0.0
83,"Indian Oil Corporation Ltd is quoting at Rs 174.59, up 0.4% on the day as on 12:44 IST on the NSE. The stock is up 91.23% in last one year as compared to a 27.67% spurt in NIFTY and a 64.51% spurt in the Nifty Energy.",https://www.business-standard.com/markets/capital-market-news/indian-oil-corporation-ltd-soars-0-4-rises-for-fifth-straight-session-124082200496_1.html,2024-08-22T07:30:00Z,0.0
84,"Vedanta Ltd is quoting at Rs 455.8, up 0.11% on the day as on 12:44 IST on the NSE. The stock is up 91.51% in last one year as compared to a 27.67% jump in NIFTY and a 40.29% jump in the Nifty Metal.",https://www.business-standard.com/markets/capital-market-news/vedanta-ltd-spurts-0-11-gains-for-fifth-straight-session-124082200506_1.html,2024-08-22T07:30:00Z,0.0
85,"AU Small Finance Bank Ltd is quoting at Rs 632.05, up 1.1% on the day as on 12:44 IST on the NSE. The stock is down 13.57% in last one year as compared to a 27.67% gain in NIFTY and a 14.67% gain in the Nifty Bank.",https://www.business-standard.com/markets/capital-market-news/au-small-finance-bank-ltd-up-for-five-straight-sessions-124082200492_1.html,2024-08-22T07:30:00Z,0.0
86,"Central Bank of India is quoting at Rs 61.23, up 0.87% on the day as on 12:44 IST on the NSE. The stock is up 71.27% in last one year as compared to a 27.67% spurt in NIFTY and a 52.68% spurt in the Nifty PSU Bank.",https://www.business-standard.com/markets/capital-market-news/central-bank-of-india-soars-0-87-up-for-fifth-straight-session-124082200510_1.html,2024-08-22T07:30:00Z,0.0
87,"Bandhan Bank Ltd is quoting at Rs 206.82, up 1.5% on the day as on 12:44 IST on the NSE. The stock is down 12.83% in last one year as compared to a 27.67% gain in NIFTY and a 14.67% gain in the Nifty Bank.",https://www.business-standard.com/markets/capital-market-news/bandhan-bank-ltd-spurts-1-5-up-for-five-straight-sessions-124082200491_1.html,2024-08-22T07:30:00Z,0.0
88,"Bank of India is quoting at Rs 120.12, up 0.57% on the day as on 12:44 IST on the NSE. The stock is up 34.14% in last one year as compared to a 27.67% gain in NIFTY and a 52.68% gain in the Nifty PSU Bank.",https://www.business-standard.com/markets/capital-market-news/bank-of-india-gains-for-fifth-session-124082200511_1.html,2024-08-22T07:30:00Z,0.0
89,"Dabur India Ltd is quoting at Rs 644.4, up 1.58% on the day as on 12:44 IST on the NSE. The stock is up 13.59% in last one year as compared to a 27.67% gain in NIFTY and a 22.1% gain in the Nifty FMCG.",https://www.business-standard.com/markets/capital-market-news/dabur-india-ltd-gains-for-fifth-session-124082200501_1.html,2024-08-22T07:30:00Z,0.0
90,"IDFC Ltd is quoting at Rs 113.45, up 2.19% on the day as on 12:44 IST on the NSE. The stock is down 8.8% in last one year as compared to a 27.67% spurt in NIFTY and a 17.86% spurt in the Nifty Financial Services.",https://www.business-standard.com/markets/capital-market-news/idfc-ltd-soars-2-19-up-for-fifth-straight-session-124082200497_1.html,2024-08-22T07:30:00Z,0.0
91,"Canara Bank is quoting at Rs 112.26, up 0.56% on the day as on 12:44 IST on the NSE. The stock is up 68.76% in last one year as compared to a 27.67% spurt in NIFTY and a 52.68% spurt in the Nifty PSU Bank.",https://www.business-standard.com/markets/capital-market-news/canara-bank-gains-for-fifth-session-124082200512_1.html,2024-08-22T07:30:00Z,0.0
